OBJECTID;profileId;TIPO;EPIPEDON;ENDOPEDON;ORDEN;SUBORDEN;GRANGRUPO;SUBGRUPO;FAMILIA_TE;LATITUD;LONGITUD;pH.0_30_spline;pH.30_100_spline;pH.0_30_Sum.Pond;pH.30_100_Sum.Pond;DEM;AnHill;Slo;Aspect;Plan_Curv;Prof_Curv;Conv_Ind;Closs_Dep;TotCatchAr;TWI;LSfactor;CHBL;CND;VD;RSP;MRVBF;MRRTF;TRI;visSky;SkyVF;Pos_Op;Neg_Op;TPI;clima;tipo_relieve;ndvi
251;DC-044;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;USTEPTS;HAPLUSTEPTS;VERTIC HAPLUSTEPTS;FINA;9.554833333;-74.04775;6.517343778;7.346411753;6.533333333;5.457142857;113;0.762123168;0.033320997;4.712388992;-0.000649895;-0.000612973;-10.17028046;0;15340.88672;9.638277054;0.390220255;107.9358063;5.064193726;545.2939453;0.009201633;1.909327865;0.016191076;0.632455528;97.42919159;0.998185456;1.530414104;1.554637551;-0.97498858;3;4;0.387386253
252;DC-045;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;AQUEPTS;EPIAQUEPTS;VERTIC EPIAQUEPTS;FRANCA FINA;9.544138889;-74.03302778;6.002557818;6.316768412;6;6.321428571;101.0527344;0.785572767;0.000188984;1.9636724;0.000197016;-0.000509244;20.58393478;0;151872.8281;15.16988373;0.00070328;101.0527344;0;550.059082;0;7.899289131;6.981638432;0.003585728;97.88253784;0.998516619;1.53753531;1.567967892;-0.578490615;3;7;0.55333232
253;DC-046;OBSERVACION;OCRICO;NO HAY;ENTISOL;ORTHENTS;USTORTHENTS;TYPIC USTORTHENTS;FRAGMENTAL;9.541472222;-74.03088889;6;NA;3;NA;101;0.797250509;0.016665123;1.570796371;0.000222936;-0.000192774;5.495472431;0;900;7.495542049;0.089925788;98.27374268;2.726257324;548.3261719;0.004947365;7.880077839;6.977688789;1;98.24061584;0.998911083;1.543160081;1.524314165;1.459593654;3;4;0.414543079
254;DC-047;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;USTEPTS;HAPLUSTEPTS;TYPIC HAPLUSTEPTS;FRANCA FINA;9.521111111;-74.02644444;7.599939147;8.024281949;7.616666667;2.285714286;105;0.762123168;0.033320997;6.283185482;-0.000305003;0.000686973;-11.1995945;0;991.3117065;6.899028778;0.225622162;92.38471985;12.61528015;530.9331055;0.023209121;7.520942211;6.887594223;0.89442718;99.44002533;0.999420404;1.562250257;1.523136377;2.215874434;3;4;0.461411693
255;DC-048;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;USTEPTS;HAPLUSTEPTS;TYPIC HAPLUSTEPTS;FRANCA FINA;9.516888889;-74.01352778;7.5;7.5;7.5;6.428571429;92;0.856003404;0.083520353;2.941165447;8.61E-05;-0.000493947;9.010619164;0;977.5438232;5.79945612;0.717965603;87.62410736;4.375892639;540.9023438;0.008025064;3.352278471;5.221887589;2.068084717;98.95201874;0.996468246;1.554334641;1.49399972;2.7299366;3;4;0.356395467
256;DC-049;OBSERVACION;OCRICO;NO HAY;ENTISOL;ORTHENTS;USTORTHENTS;TYPIC USTORTHENTS;ARENOSA SOBRE FRAGMENTAL;9.5065;-73.97497222;5.5;5.5;5.5;2.2;78;0.762834549;0.032289848;4.712388992;-0.000467351;-0.000411394;-20.62345123;0;15333.09961;9.669226646;0.374562651;77.1359787;0.864021301;548.3056641;0.001573323;6.42118454;6.748929024;0.613182724;97.67664337;0.998380899;1.534301043;1.556950569;-1.390212655;3;4;0.684992128
257;DC-050;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;UDEPTS;DYSTRUDEPTS;TYPIC DYSTRUDEPTS;ESQUELETICA FRANCA SOBRE FRAGMENTAL;9.260861111;-73.93827778;4.5;4.5;4.5;0.128571429;54;0.82219249;0.068407133;3.387317181;-4.14E-05;-3.82E-05;-0.877295494;0;9651.667969;8.261126518;0.871033251;51.43272781;2.567272186;366.7587891;0.006951235;2.203219891;0.010006152;1.730599642;96.28482819;0.996374309;1.512438536;1.559606791;-2.055737972;1;4;0.435939534
258;DC-051;OBSERVACION;OCRICO;NO HAY;ENTISOL;ORTHENTS;UDORTHENTS;TYPIC UDORTHENTS;ARCILLOSA SOBRE FRAGMENTAL;9.253277778;-73.94066667;4.062569263;4.543432697;4.083333333;0.9;59;0.809076548;0.033110529;1.570796371;-7.62E-05;3.72E-05;-3.843005419;0;1247.169434;7.134973049;0.234287277;49.3875351;9.612464905;353.8725586;0.026445284;7.874322891;6.578952789;0.62847054;98.37549591;0.998617232;1.545278668;1.544525385;0.07646396;1;4;0.742895787
259;DC-052;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;UDEPTS;DYSTRUDEPTS;TYPIC DYSTRUDEPTS;FINA;9.24125;-73.92675;5.33565566;4.987415124;5.316666667;3.214285714;55;0.738292575;0.047105581;5.497786999;8.95E-05;-0.000130878;3.526821375;0;1617.327881;6.695383549;0.364042997;48.13870239;6.861297607;346.0244141;0.019443398;0.297510207;1.875864387;0.89442718;98.66508484;0.999198854;1.549827576;1.528648973;1.618405342;1;4;0.418325082
260;DC-053;OBSERVACION;OCRICO;NO HAY;ENTISOL;ORTHENTS;UDORTHENTS;TYPIC UDORTHENTS;ARENOSA;9.232861111;-73.90966667;5.5;5.5;5.5;3.928571429;53;0.820803404;0.03725056;2.034443855;5.82E-05;9.47E-05;0.56183368;0;900;6.396929741;0.241198242;40.22274017;12.77725983;339.6103516;0.036259107;0.022789534;3.731615067;1.34164083;99.6078186;0.999479711;1.564635992;1.510581613;2.10558486;1;4;0.640779456
261;DC-054;OBSERVACION;N/A;NA;NA;NA;NA;NA;NA;9.222777778;-73.87;NA;NA;NA;NA;39;0.785675764;0.023565862;3.926990747;-9.57E-05;0.000132726;-3.686568975;0;49194.75;10.80354214;0.293027014;37.36570358;1.634296417;343.7255859;0.004732155;6.282855511;4.693504333;0.632455528;98.11195374;0.999025226;1.541138887;1.563543797;-1.05923748;1;1;0.622601369
262;DC-055;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;USTEPTS;DYSTRUSTEPTS;TYPIC DYSTRUSTEPTS;FRANCA FINA;9.366166667;-73.87997222;5.00026515;4.864133554;5;4.821428571;48;0.78592217;0.046550453;3.93900609;-0.000628755;-0.000323512;-13.69246483;0;31966.44141;9.691239357;0.651103616;47.07536316;0.924636841;480.3818359;0.001921098;2.39821744;0.008615053;1.248349786;97.25150299;0.99805218;1.527623057;1.552664399;-1.252360582;3;4;0.620659502
263;DC-056;OBSERVACION;OCRICO;NO HAY;ENTISOL;ORTHENTS;USTORTHENTS;TYPIC USTORTHENTS;ARENOSA SOBRE FRANCA;9.369361111;-73.85527778;5.445129607;4.997193739;5.45;4.992857143;46;0.830977201;0.050324116;2.804328203;-1.37E-05;2.09E-05;-2.917265892;0;1197.912476;6.432955265;0.381411463;43.49610138;2.503898621;489.7412109;0.005086691;7.921841145;5.322319984;1.042014956;98.27850342;0.998336911;1.543755174;1.537075162;0.79316771;3;4;0.540187507
264;DC-057;OBSERVACION;OCRICO;NO HAY;ENTISOL;ORTHENTS;USTORTHENTS;TYPIC USTORTHENTS;FRANCA GRUESA;9.370916667;-73.86425;5.481090298;5.933928795;5.5;3.128571429;50.00740433;0.83263272;0.052545823;1.891497135;8.11E-05;7.08E-05;-0.195900902;0;13673.78613;8.83271122;0.657600343;44.94005203;5.067352295;485.1064453;0.010337869;7.706742287;3.887782574;1.410027266;96.96403503;0.997501493;1.523107529;1.559940338;-1.967218399;3;4;0.569838699
265;DC-058;OBSERVACION;OCRICO;NO HAY;ENTISOL;ORTHENTS;UDORTHENTS;TYPIC UDORTHENTS;FRAGMENTAL;9.076444444;-73.68952778;4.992098305;4.789679772;5;2.321428571;59;0.77368468;0.016665123;4.712388992;6.17E-05;0.000436809;42.92061615;0;900;7.495542049;0.089925788;51.06177902;7.938220978;360.8779297;0.021523518;3.958622694;4.698592663;1.612451553;99.39309692;0.999872983;1.561450124;1.482589245;4.024010658;1;4;0.579743692
266;DC-059;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;UDEPTS;DYSTRUDEPTS;OXIC DYSTRUDEPTS;FINA;9.0625;-73.69994444;5.467345363;5.476043335;5.45;5.485714286;53.00740433;0.785583615;0.02335543;3.93072629;-2.84E-06;-0.000112651;1.124436498;0;12680.77051;9.456822395;0.220846459;48.57121658;4.436187744;342.7827148;0.012776343;2.784906387;4.841114998;0.627777755;97.84134674;0.99850142;1.536888242;1.563735127;-1.322952509;1;4;0.462607526
267;DC-060;OBSERVACION;UMBRICO;CAMBICO;INCEPTISOL;UDEPTS;HUMUDEPTS;TYPIC HUMUDEPTS;ESQUELETICA ARENOSA;9.074055556;-73.71869444;4.841779077;4.463226826;4.733333333;4.514285714;42;0.774252594;0.03725056;4.24874115;0.000256066;-0.000184808;2.934778929;0;18133.61523;9.400057793;0.439766854;38.38486862;3.615131378;300.3339844;0.01189387;2.970867395;0.685991287;1;97.51722717;0.998223186;1.531797051;1.557992816;-1.353850126;1;4;0.553792589
